Price,Close,High,Low,Open,Volume
Ticker,AGG,AGG,AGG,AGG,AGG
Date,,,,,
2005-08-17,53.12614440917969,53.22532980245083,52.98520030853432,53.18878844430504,119100
2005-08-18,53.272281646728516,53.27228164672852,53.15221498093876,53.19397764579667,85600
2005-08-19,53.2200927734375,53.27229811199885,53.1417927310118,53.18877275646722,73700
2005-08-22,53.26708221435547,53.3036235654504,53.167896840222696,53.22009820139994,93800
2005-08-23,53.30365753173828,53.37674028049812,53.24623480303969,53.267116157358366,110900
2005-08-24,53.371456146240234,53.387116147874984,53.27749215372529,53.31403348510852,98900
2005-08-25,53.371456146240234,53.39233747598871,53.24617215045578,53.371456146240234,182200
2005-08-26,53.32969665527344,53.376676659460465,53.24095000952068,53.361016658064784,103900
2005-08-29,53.35060501098633,53.41324903568599,53.28274363792653,53.35060501098633,97700
2005-08-30,53.48109817504883,53.54896351529324,53.40279814047107,53.4236754945533,127800
2005-08-31,53.68990707397461,53.72123107022978,53.47065901372707,53.60638571027886,112200
2005-09-01,53.763221740722656,53.8470201046449,53.62180625747398,53.70560861731267,104900
2005-09-02,53.737056732177734,53.81562048096864,53.62706908223777,53.668970281048686,264800
2005-09-06,53.632328033447266,53.74755437583679,53.51710169105774,53.710891811978286,121300
2005-09-07,53.54327392578125,53.59564842951018,53.475183474607,53.57469782883491,96300
2005-09-08,53.53800582885742,53.59038030377856,53.46468076478458,53.579907007160855,130900
2005-09-09,53.522315979003906,53.62706497208464,53.42804028686407,53.49088808434533,234600
2005-09-12,53.44894027709961,53.522265302012684,53.35989932177873,53.42275105566744,106300
2005-09-13,53.5799446105957,53.61660716836261,53.469952941375865,53.47519159131945,105900
2005-09-14,53.522315979003906,53.59564107334401,53.37042714189428,53.57469047554427,171500
2005-09-15,53.39137649536133,53.53278803231639,53.29186215711134,53.448989638988394,165800
2005-09-16,53.270931243896484,53.39663087829458,53.22903003379067,53.39139622397085,86400
2005-09-19,53.31806945800781,53.35996667090068,53.197604481652895,53.255217644789695,96000
2005-09-20,53.2813606262207,53.370397620681345,53.12423322759484,53.33896974340673,219700
2005-09-21,53.40182113647461,53.49085813032574,53.30230685163175,53.469907544258,233300
2005-09-22,53.44894027709961,53.52749994956778,53.380849899741634,53.469886859148346,396000
2005-09-23,53.3547248840332,53.44376194391658,53.31806233020366,53.44376194391658,85200
2005-09-26,53.223758697509766,53.29708376669943,53.18185751628236,53.2394706414909,126100
2005-09-27,53.187095642089844,53.31279518862458,53.05615744897383,53.25518206398021,297900
2005-09-28,53.3337516784668,53.349463624032026,53.13996169268936,53.234237361997714,233800
2005-09-29,53.21327209472656,53.312786383752744,53.197560153494194,53.27612385557192,137100
2005-09-30,53.187095642089844,53.2970832447973,53.07710404346584,53.26042071056148,127300
2005-10-03,53.00686264038086,53.13823683785549,52.89650879560886,53.075175779747624,86200
2005-10-04,53.08043670654297,53.11722132481853,52.98584711537402,53.090944879240546,136500
2005-10-05,53.16450881958008,53.19078526254042,53.048898885310265,53.10145177123095,608800
